Platform,Department,Pipeline,Stage,Precedence Index,Criticality,Task Performed,Task Description,Client (Beneficiary),Dependencies (Must Follow),Precedencies (Must Precede),Deliverables,SLA (Hours),KPIs,Billing Model,Billing Unit,Base Rate,Value-Based Multiplier Guidance,Quoted Price Formula,Tools / Integrations,Automations / AI,Approver,Notes
SuiteDash,Creative & Content,Creative & Content Pipeline,Promotion / Syndication,8,Medium,Copywriter — Promotion / Syndication,Cross-post and distribute deliverable; add UTMs; notify stakeholders for Copywriter.,External Client / Internal Marketing,Intake & Brief; Ideation & Research; Draft / Production; Edit / Review; Design & Multimedia; QA / Compliance; Publish,Performance Review,Ad copy pack (5–10 variants) or long-form copy with meta tags,4,Ad CTR; conv. rate; QA error rate,Fixed + value uplift,per word (or $250 per ad pack),0.35,"1.0–2.0× based on expected CTR/engagement lift, urgency, exclusivity.",Quoted = Base Rate × Value Multiplier × (Rush 1.25× if <48h),Katteb; WordHero; Writeseed; Grammarly,Auto-assign editor; grammar QA; plagiarism scan,Creative Director,Dependencies follow stage order; Gantt precedence via index; map fields to custom properties on import.
SuiteDash,Creative & Content,Creative & Content Pipeline,Promotion / Syndication,8,Medium,Scriptwriter — Promotion / Syndication,Cross-post and distribute deliverable; add UTMs; notify stakeholders for Scriptwriter.,External Client / Internal Editorial,Intake & Brief; Ideation & Research; Draft / Production; Edit / Review; Design & Multimedia; QA / Compliance; Publish,Performance Review,"Video script (2–3 min), alt hooks, VO notes",4,1st-pass approval %; turnaround time,Fixed + value uplift,per script,300.0,"1.0–2.0× based on expected CTR/engagement lift, urgency, exclusivity.",Quoted = Base Rate × Value Multiplier × (Rush 1.25× if <48h),KWHero; Nichesss,Auto-outline generator; versioning and comments,Creative Director,Dependencies follow stage order; Gantt precedence via index; map fields to custom properties on import.
SuiteDash,Creative & Content,Creative & Content Pipeline,Promotion / Syndication,8,Medium,Illustrator — Promotion / Syndication,Cross-post and distribute deliverable; add UTMs; notify stakeholders for Illustrator.,External Client / Internal Editorial,Intake & Brief; Ideation & Research; Draft / Production; Edit / Review; Design & Multimedia; QA / Compliance; Publish,Performance Review,High-res illustration (SVG/PNG) + style sheet,4,Saves/shares; turnaround; revisions,Fixed + value uplift,per illustration,450.0,"1.0–2.0× based on expected CTR/engagement lift, urgency, exclusivity.",Quoted = Base Rate × Value Multiplier × (Rush 1.25× if <48h),SUPERMACHINE; Phygital+,Auto-export size variants; link to asset library,Creative Director,Dependencies follow stage order; Gantt precedence via index; map fields to custom properties on import.
SuiteDash,Creative & Content,Creative & Content Pipeline,Performance Review,9,Medium,Thumbnail Designer — Performance Review,Analyze performance vs KPIs; log learnings and next actions for Thumbnail Designer.,External Client / Internal Editorial,Intake & Brief; Ideation & Research; Draft / Production; Edit / Review; Design & Multimedia; QA / Compliance; Publish; Promotion / Syndication,,"3 thumbnail variants (PNG/JPG), source file, test results",4,CTR uplift; revisions per asset; on-time delivery %,Fixed + value uplift,per thumbnail,150.0,"1.0–2.0× based on expected CTR/engagement lift, urgency, exclusivity.",Quoted = Base Rate × Value Multiplier × (Rush 1.25× if <48h),Publit.io; Bestever; SUPERMACHINE,Auto-notify editor on upload; auto-publish on approval,Creative Director,Dependencies follow stage order; Gantt precedence via index; map fields to custom properties on import.
SuiteDash,Creative & Content,Creative & Content Pipeline,Performance Review,9,Medium,Video Editor (Short) — Performance Review,Analyze performance vs KPIs; log learnings and next actions for Video Editor (Short).,External Client / Internal Editorial,Intake & Brief; Ideation & Research; Draft / Production; Edit / Review; Design & Multimedia; QA / Compliance; Publish; Promotion / Syndication,,One 9–60s vertical video with captions and SRT,4,Avg. watch %; completion rate; time-to-edit,Fixed + value uplift,per short video,400.0,"1.0–2.0× based on expected CTR/engagement lift, urgency, exclusivity.",Quoted = Base Rate × Value Multiplier × (Rush 1.25× if <48h),Phygital+; Unmixr AI; Activepieces (ingest/export),Auto-ingest from Drive; auto-caption; render queue,Creative Director,Dependencies follow stage order; Gantt precedence via index; map fields to custom properties on import.
SuiteDash,Creative & Content,Creative & Content Pipeline,Performance Review,9,Medium,Copywriter — Performance Review,Analyze performance vs KPIs; log learnings and next actions for Copywriter.,External Client / Internal Marketing,Intake & Brief; Ideation & Research; Draft / Production; Edit / Review; Design & Multimedia; QA / Compliance; Publish; Promotion / Syndication,,Ad copy pack (5–10 variants) or long-form copy with meta tags,4,Ad CTR; conv. rate; QA error rate,Fixed + value uplift,per word (or $250 per ad pack),0.35,"1.0–2.0× based on expected CTR/engagement lift, urgency, exclusivity.",Quoted = Base Rate × Value Multiplier × (Rush 1.25× if <48h),Katteb; WordHero; Writeseed; Grammarly,Auto-assign editor; grammar QA; plagiarism scan,Creative Director,Dependencies follow stage order; Gantt precedence via index; map fields to custom properties on import.
SuiteDash,Creative & Content,Creative & Content Pipeline,Performance Review,9,Medium,Scriptwriter — Performance Review,Analyze performance vs KPIs; log learnings and next actions for Scriptwriter.,External Client / Internal Editorial,Intake & Brief; Ideation & Research; Draft / Production; Edit / Review; Design & Multimedia; QA / Compliance; Publish; Promotion / Syndication,,"Video script (2–3 min), alt hooks, VO notes",4,1st-pass approval %; turnaround time,Fixed + value uplift,per script,300.0,"1.0–2.0× based on expected CTR/engagement lift, urgency, exclusivity.",Quoted = Base Rate × Value Multiplier × (Rush 1.25× if <48h),KWHero; Nichesss,Auto-outline generator; versioning and comments,Creative Director,Dependencies follow stage order; Gantt precedence via index; map fields to custom properties on import.
SuiteDash,Creative & Content,Creative & Content Pipeline,Performance Review,9,Medium,Illustrator — Performance Review,Analyze performance vs KPIs; log learnings and next actions for Illustrator.,External Client / Internal Editorial,Intake & Brief; Ideation & Research; Draft / Production; Edit / Review; Design & Multimedia; QA / Compliance; Publish; Promotion / Syndication,,High-res illustration (SVG/PNG) + style sheet,4,Saves/shares; turnaround; revisions,Fixed + value uplift,per illustration,450.0,"1.0–2.0× based on expected CTR/engagement lift, urgency, exclusivity.",Quoted = Base Rate × Value Multiplier × (Rush 1.25× if <48h),SUPERMACHINE; Phygital+,Auto-export size variants; link to asset library,Creative Director,Dependencies follow stage order; Gantt precedence via index; map fields to custom properties on import.
SuiteDash,Social & Community,Social & Community Pipeline,Calendar Planning,1,Medium,Hashtag Researcher — Calendar Planning,Create weekly calendar aligned to campaigns; allocate slots for Hashtag Researcher.,Internal Social Team / External Client,,Asset Prep; Approval; Scheduling; Live / Engage; Moderation & Escalation; UGC Curation; Weekly Reporting,Weekly hashtag/keyword report with recommendations,4,Reach lift; CTR change; hashtag rank,Retainer + performance bonus,per weekly report,100.0,"1.0–1.5× based on retention, engagement, lead volume impact.",Quoted = Base Rate × Value Multiplier × (Rush 1.25× if <48h),WriterZen; Yazo; Squirrly SEO,Weekly auto-report generation and delivery,Marketing Lead,Dependencies follow stage order; Gantt precedence via index; map fields to custom properties on import.
SuiteDash,Social & Community,Social & Community Pipeline,Calendar Planning,1,Medium,Content Scheduler — Calendar Planning,Create weekly calendar aligned to campaigns; allocate slots for Content Scheduler.,Internal Marketing,,Asset Prep; Approval; Scheduling; Live / Engage; Moderation & Escalation; UGC Curation; Weekly Reporting,Scheduled post calendar with links and timestamps,4,On-time publish %; posting errors %,Retainer + performance bonus,per week,100.0,"1.0–1.5× based on retention, engagement, lead volume impact.",Quoted = Base Rate × Value Multiplier × (Rush 1.25× if <48h),Pabbly; Activepieces; SocialBee/Buffer,Auto-schedule by best time; repost evergreen,Marketing Lead,Dependencies follow stage order; Gantt precedence via index; map fields to custom properties on import.
SuiteDash,Social & Community,Social & Community Pipeline,Calendar Planning,1,Medium,Community Manager — Calendar Planning,Create weekly calendar aligned to campaigns; allocate slots for Community Manager.,External Client / Internal Brand,,Asset Prep; Approval; Scheduling; Live / Engage; Moderation & Escalation; UGC Curation; Weekly Reporting,Engagement & moderation log; weekly community report,8,Avg. response time; engagement/member; retention %,Retainer + performance bonus,per month retainer,2500.0,"1.0–1.5× based on retention, engagement, lead volume impact.",Quoted = Base Rate × Value Multiplier × (Rush 1.25× if <48h),SuiteDash Portal; SalesNexus CRM,Auto-escalate flagged content; sentiment alerts,Marketing Lead,Dependencies follow stage order; Gantt precedence via index; map fields to custom properties on import.
SuiteDash,Social & Community,Social & Community Pipeline,Calendar Planning,1,Medium,DM Specialist — Calendar Planning,Create weekly calendar aligned to campaigns; allocate slots for DM Specialist.,External Prospect / Sales,,Asset Prep; Approval; Scheduling; Live / Engage; Moderation & Escalation; UGC Curation; Weekly Reporting,Qualified lead list with transcripts/notes,4,Qualified leads; response time; lead→opportunity %,Retainer + performance bonus,per qualified lead (or $20/hr),35.0,"1.0–1.5× based on retention, engagement, lead volume impact.",Quoted = Base Rate × Value Multiplier × (Rush 1.25× if <48h),SalesNexus; WhatsApp CRM; Auto-assign via Pabbly,Auto-create CRM lead; tag source; assign follow-up,Marketing Lead,Dependencies follow stage order; Gantt precedence via index; map fields to custom properties on import.
SuiteDash,Social & Community,Social & Community Pipeline,Asset Prep,2,Medium,Hashtag Researcher — Asset Prep,Prepare/upload assets and captions; map to calendar items for Hashtag Researcher.,Internal Social Team / External Client,Calendar Planning,Approval; Scheduling; Live / Engage; Moderation & Escalation; UGC Curation; Weekly Reporting,Weekly hashtag/keyword report with recommendations,4,Reach lift; CTR change; hashtag rank,Retainer + performance bonus,per weekly report,100.0,"1.0–1.5× based on retention, engagement, lead volume impact.",Quoted = Base Rate × Value Multiplier × (Rush 1.25× if <48h),WriterZen; Yazo; Squirrly SEO,Weekly auto-report generation and delivery,Marketing Lead,Dependencies follow stage order; Gantt precedence via index; map fields to custom properties on import.
SuiteDash,Social & Community,Social & Community Pipeline,Asset Prep,2,Medium,Content Scheduler — Asset Prep,Prepare/upload assets and captions; map to calendar items for Content Scheduler.,Internal Marketing,Calendar Planning,Approval; Scheduling; Live / Engage; Moderation & Escalation; UGC Curation; Weekly Reporting,Scheduled post calendar with links and timestamps,4,On-time publish %; posting errors %,Retainer + performance bonus,per week,100.0,"1.0–1.5× based on retention, engagement, lead volume impact.",Quoted = Base Rate × Value Multiplier × (Rush 1.25× if <48h),Pabbly; Activepieces; SocialBee/Buffer,Auto-schedule by best time; repost evergreen,Marketing Lead,Dependencies follow stage order; Gantt precedence via index; map fields to custom properties on import.
SuiteDash,Social & Community,Social & Community Pipeline,Asset Prep,2,Medium,Community Manager — Asset Prep,Prepare/upload assets and captions; map to calendar items for Community Manager.,External Client / Internal Brand,Calendar Planning,Approval; Scheduling; Live / Engage; Moderation & Escalation; UGC Curation; Weekly Reporting,Engagement & moderation log; weekly community report,8,Avg. response time; engagement/member; retention %,Retainer + performance bonus,per month retainer,2500.0,"1.0–1.5× based on retention, engagement, lead volume impact.",Quoted = Base Rate × Value Multiplier × (Rush 1.25× if <48h),SuiteDash Portal; SalesNexus CRM,Auto-escalate flagged content; sentiment alerts,Marketing Lead,Dependencies follow stage order; Gantt precedence via index; map fields to custom properties on import.
SuiteDash,Social & Community,Social & Community Pipeline,Asset Prep,2,Medium,DM Specialist — Asset Prep,Prepare/upload assets and captions; map to calendar items for DM Specialist.,External Prospect / Sales,Calendar Planning,Approval; Scheduling; Live / Engage; Moderation & Escalation; UGC Curation; Weekly Reporting,Qualified lead list with transcripts/notes,4,Qualified leads; response time; lead→opportunity %,Retainer + performance bonus,per qualified lead (or $20/hr),35.0,"1.0–1.5× based on retention, engagement, lead volume impact.",Quoted = Base Rate × Value Multiplier × (Rush 1.25× if <48h),SalesNexus; WhatsApp CRM; Auto-assign via Pabbly,Auto-create CRM lead; tag source; assign follow-up,Marketing Lead,Dependencies follow stage order; Gantt precedence via index; map fields to custom properties on import.
SuiteDash,Social & Community,Social & Community Pipeline,Approval,3,High,Hashtag Researcher — Approval,Route posts to approver; ensure compliance and brand tone for Hashtag Researcher.,Internal Social Team / External Client,Calendar Planning; Asset Prep,Scheduling; Live / Engage; Moderation & Escalation; UGC Curation; Weekly Reporting,Weekly hashtag/keyword report with recommendations,4,Reach lift; CTR change; hashtag rank,Retainer + performance bonus,per weekly report,100.0,"1.0–1.5× based on retention, engagement, lead volume impact.",Quoted = Base Rate × Value Multiplier × (Rush 1.25× if <48h),WriterZen; Yazo; Squirrly SEO,Weekly auto-report generation and delivery,Marketing Lead,Dependencies follow stage order; Gantt precedence via index; map fields to custom properties on import.
SuiteDash,Social & Community,Social & Community Pipeline,Approval,3,High,Content Scheduler — Approval,Route posts to approver; ensure compliance and brand tone for Content Scheduler.,Internal Marketing,Calendar Planning; Asset Prep,Scheduling; Live / Engage; Moderation & Escalation; UGC Curation; Weekly Reporting,Scheduled post calendar with links and timestamps,4,On-time publish %; posting errors %,Retainer + performance bonus,per week,100.0,"1.0–1.5× based on retention, engagement, lead volume impact.",Quoted = Base Rate × Value Multiplier × (Rush 1.25× if <48h),Pabbly; Activepieces; SocialBee/Buffer,Auto-schedule by best time; repost evergreen,Marketing Lead,Dependencies follow stage order; Gantt precedence via index; map fields to custom properties on import.
SuiteDash,Social & Community,Social & Community Pipeline,Approval,3,High,Community Manager — Approval,Route posts to approver; ensure compliance and brand tone for Community Manager.,External Client / Internal Brand,Calendar Planning; Asset Prep,Scheduling; Live / Engage; Moderation & Escalation; UGC Curation; Weekly Reporting,Engagement & moderation log; weekly community report,8,Avg. response time; engagement/member; retention %,Retainer + performance bonus,per month retainer,2500.0,"1.0–1.5× based on retention, engagement, lead volume impact.",Quoted = Base Rate × Value Multiplier × (Rush 1.25× if <48h),SuiteDash Portal; SalesNexus CRM,Auto-escalate flagged content; sentiment alerts,Marketing Lead,Dependencies follow stage order; Gantt precedence via index; map fields to custom properties on import.
SuiteDash,Social & Community,Social & Community Pipeline,Approval,3,High,DM Specialist — Approval,Route posts to approver; ensure compliance and brand tone for DM Specialist.,External Prospect / Sales,Calendar Planning; Asset Prep,Scheduling; Live / Engage; Moderation & Escalation; UGC Curation; Weekly Reporting,Qualified lead list with transcripts/notes,4,Qualified leads; response time; lead→opportunity %,Retainer + performance bonus,per qualified lead (or $20/hr),35.0,"1.0–1.5× based on retention, engagement, lead volume impact.",Quoted = Base Rate × Value Multiplier × (Rush 1.25× if <48h),SalesNexus; WhatsApp CRM; Auto-assign via Pabbly,Auto-create CRM lead; tag source; assign follow-up,Marketing Lead,Dependencies follow stage order; Gantt precedence via index; map fields to custom properties on import.
SuiteDash,Social & Community,Social & Community Pipeline,Scheduling,4,High,Hashtag Researcher — Scheduling,Schedule content at optimal times; set reminders and failsafes for Hashtag Researcher.,Internal Social Team / External Client,Calendar Planning; Asset Prep; Approval,Live / Engage; Moderation & Escalation; UGC Curation; Weekly Reporting,Weekly hashtag/keyword report with recommendations,4,Reach lift; CTR change; hashtag rank,Retainer + performance bonus,per weekly report,100.0,"1.0–1.5× based on retention, engagement, lead volume impact.",Quoted = Base Rate × Value Multiplier × (Rush 1.25× if <48h),WriterZen; Yazo; Squirrly SEO,Weekly auto-report generation and delivery,Marketing Lead,Dependencies follow stage order; Gantt precedence via index; map fields to custom properties on import.
SuiteDash,Social & Community,Social & Community Pipeline,Scheduling,4,High,Content Scheduler — Scheduling,Schedule content at optimal times; set reminders and failsafes for Content Scheduler.,Internal Marketing,Calendar Planning; Asset Prep; Approval,Live / Engage; Moderation & Escalation; UGC Curation; Weekly Reporting,Scheduled post calendar with links and timestamps,4,On-time publish %; posting errors %,Retainer + performance bonus,per week,100.0,"1.0–1.5× based on retention, engagement, lead volume impact.",Quoted = Base Rate × Value Multiplier × (Rush 1.25× if <48h),Pabbly; Activepieces; SocialBee/Buffer,Auto-schedule by best time; repost evergreen,Marketing Lead,Dependencies follow stage order; Gantt precedence via index; map fields to custom properties on import.
SuiteDash,Social & Community,Social & Community Pipeline,Scheduling,4,High,Community Manager — Scheduling,Schedule content at optimal times; set reminders and failsafes for Community Manager.,External Client / Internal Brand,Calendar Planning; Asset Prep; Approval,Live / Engage; Moderation & Escalation; UGC Curation; Weekly Reporting,Engagement & moderation log; weekly community report,8,Avg. response time; engagement/member; retention %,Retainer + performance bonus,per month retainer,2500.0,"1.0–1.5× based on retention, engagement, lead volume impact.",Quoted = Base Rate × Value Multiplier × (Rush 1.25× if <48h),SuiteDash Portal; SalesNexus CRM,Auto-escalate flagged content; sentiment alerts,Marketing Lead,Dependencies follow stage order; Gantt precedence via index; map fields to custom properties on import.
SuiteDash,Social & Community,Social & Community Pipeline,Scheduling,4,High,DM Specialist — Scheduling,Schedule content at optimal times; set reminders and failsafes for DM Specialist.,External Prospect / Sales,Calendar Planning; Asset Prep; Approval,Live / Engage; Moderation & Escalation; UGC Curation; Weekly Reporting,Qualified lead list with transcripts/notes,4,Qualified leads; response time; lead→opportunity %,Retainer + performance bonus,per qualified lead (or $20/hr),35.0,"1.0–1.5× based on retention, engagement, lead volume impact.",Quoted = Base Rate × Value Multiplier × (Rush 1.25× if <48h),SalesNexus; WhatsApp CRM; Auto-assign via Pabbly,Auto-create CRM lead; tag source; assign follow-up,Marketing Lead,Dependencies follow stage order; Gantt precedence via index; map fields to custom properties on import.
SuiteDash,Social & Community,Social & Community Pipeline,Live / Engage,5,High,Hashtag Researcher — Live / Engage,Monitor comments/DMs; respond/escalate per SOPs for Hashtag Researcher.,Internal Social Team / External Client,Calendar Planning; Asset Prep; Approval; Scheduling,Moderation & Escalation; UGC Curation; Weekly Reporting,Weekly hashtag/keyword report with recommendations,4,Reach lift; CTR change; hashtag rank,Retainer + performance bonus,per weekly report,100.0,"1.0–1.5× based on retention, engagement, lead volume impact.",Quoted = Base Rate × Value Multiplier × (Rush 1.25× if <48h),WriterZen; Yazo; Squirrly SEO,Weekly auto-report generation and delivery,Marketing Lead,Dependencies follow stage order; Gantt precedence via index; map fields to custom properties on import.
SuiteDash,Social & Community,Social & Community Pipeline,Live / Engage,5,High,Content Scheduler — Live / Engage,Monitor comments/DMs; respond/escalate per SOPs for Content Scheduler.,Internal Marketing,Calendar Planning; Asset Prep; Approval; Scheduling,Moderation & Escalation; UGC Curation; Weekly Reporting,Scheduled post calendar with links and timestamps,4,On-time publish %; posting errors %,Retainer + performance bonus,per week,100.0,"1.0–1.5× based on retention, engagement, lead volume impact.",Quoted = Base Rate × Value Multiplier × (Rush 1.25× if <48h),Pabbly; Activepieces; SocialBee/Buffer,Auto-schedule by best time; repost evergreen,Marketing Lead,Dependencies follow stage order; Gantt precedence via index; map fields to custom properties on import.
SuiteDash,Social & Community,Social & Community Pipeline,Live / Engage,5,High,Community Manager — Live / Engage,Monitor comments/DMs; respond/escalate per SOPs for Community Manager.,External Client / Internal Brand,Calendar Planning; Asset Prep; Approval; Scheduling,Moderation & Escalation; UGC Curation; Weekly Reporting,Engagement & moderation log; weekly community report,8,Avg. response time; engagement/member; retention %,Retainer + performance bonus,per month retainer,2500.0,"1.0–1.5× based on retention, engagement, lead volume impact.",Quoted = Base Rate × Value Multiplier × (Rush 1.25× if <48h),SuiteDash Portal; SalesNexus CRM,Auto-escalate flagged content; sentiment alerts,Marketing Lead,Dependencies follow stage order; Gantt precedence via index; map fields to custom properties on import.
SuiteDash,Social & Community,Social & Community Pipeline,Live / Engage,5,High,DM Specialist — Live / Engage,Monitor comments/DMs; respond/escalate per SOPs for DM Specialist.,External Prospect / Sales,Calendar Planning; Asset Prep; Approval; Scheduling,Moderation & Escalation; UGC Curation; Weekly Reporting,Qualified lead list with transcripts/notes,4,Qualified leads; response time; lead→opportunity %,Retainer + performance bonus,per qualified lead (or $20/hr),35.0,"1.0–1.5× based on retention, engagement, lead volume impact.",Quoted = Base Rate × Value Multiplier × (Rush 1.25× if <48h),SalesNexus; WhatsApp CRM; Auto-assign via Pabbly,Auto-create CRM lead; tag source; assign follow-up,Marketing Lead,Dependencies follow stage order; Gantt precedence via index; map fields to custom properties on import.
SuiteDash,Social & Community,Social & Community Pipeline,Moderation & Escalation,6,High,Hashtag Researcher — Moderation & Escalation,Apply rules; remove spam/abuse; escalate sensitive cases for Hashtag Researcher.,Internal Social Team / External Client,Calendar Planning; Asset Prep; Approval; Scheduling; Live / Engage,UGC Curation; Weekly Reporting,Weekly hashtag/keyword report with recommendations,4,Reach lift; CTR change; hashtag rank,Retainer + performance bonus,per weekly report,100.0,"1.0–1.5× based on retention, engagement, lead volume impact.",Quoted = Base Rate × Value Multiplier × (Rush 1.25× if <48h),WriterZen; Yazo; Squirrly SEO,Weekly auto-report generation and delivery,Marketing Lead,Dependencies follow stage order; Gantt precedence via index; map fields to custom properties on import.
SuiteDash,Social & Community,Social & Community Pipeline,Moderation & Escalation,6,High,Content Scheduler — Moderation & Escalation,Apply rules; remove spam/abuse; escalate sensitive cases for Content Scheduler.,Internal Marketing,Calendar Planning; Asset Prep; Approval; Scheduling; Live / Engage,UGC Curation; Weekly Reporting,Scheduled post calendar with links and timestamps,4,On-time publish %; posting errors %,Retainer + performance bonus,per week,100.0,"1.0–1.5× based on retention, engagement, lead volume impact.",Quoted = Base Rate × Value Multiplier × (Rush 1.25× if <48h),Pabbly; Activepieces; SocialBee/Buffer,Auto-schedule by best time; repost evergreen,Marketing Lead,Dependencies follow stage order; Gantt precedence via index; map fields to custom properties on import.
SuiteDash,Social & Community,Social & Community Pipeline,Moderation & Escalation,6,High,Community Manager — Moderation & Escalation,Apply rules; remove spam/abuse; escalate sensitive cases for Community Manager.,External Client / Internal Brand,Calendar Planning; Asset Prep; Approval; Scheduling; Live / Engage,UGC Curation; Weekly Reporting,Engagement & moderation log; weekly community report,8,Avg. response time; engagement/member; retention %,Retainer + performance bonus,per month retainer,2500.0,"1.0–1.5× based on retention, engagement, lead volume impact.",Quoted = Base Rate × Value Multiplier × (Rush 1.25× if <48h),SuiteDash Portal; SalesNexus CRM,Auto-escalate flagged content; sentiment alerts,Marketing Lead,Dependencies follow stage order; Gantt precedence via index; map fields to custom properties on import.
SuiteDash,Social & Community,Social & Community Pipeline,Moderation & Escalation,6,High,DM Specialist — Moderation & Escalation,Apply rules; remove spam/abuse; escalate sensitive cases for DM Specialist.,External Prospect / Sales,Calendar Planning; Asset Prep; Approval; Scheduling; Live / Engage,UGC Curation; Weekly Reporting,Qualified lead list with transcripts/notes,4,Qualified leads; response time; lead→opportunity %,Retainer + performance bonus,per qualified lead (or $20/hr),35.0,"1.0–1.5× based on retention, engagement, lead volume impact.",Quoted = Base Rate × Value Multiplier × (Rush 1.25× if <48h),SalesNexus; WhatsApp CRM; Auto-assign via Pabbly,Auto-create CRM lead; tag source; assign follow-up,Marketing Lead,Dependencies follow stage order; Gantt precedence via index; map fields to custom properties on import.
SuiteDash,Social & Community,Social & Community Pipeline,UGC Curation,7,Medium,Hashtag Researcher — UGC Curation,Select and secure permissions for UGC; schedule reposts for Hashtag Researcher.,Internal Social Team / External Client,Calendar Planning; Asset Prep; Approval; Scheduling; Live / Engage; Moderation & Escalation,Weekly Reporting,Weekly hashtag/keyword report with recommendations,4,Reach lift; CTR change; hashtag rank,Retainer + performance bonus,per weekly report,100.0,"1.0–1.5× based on retention, engagement, lead volume impact.",Quoted = Base Rate × Value Multiplier × (Rush 1.25× if <48h),WriterZen; Yazo; Squirrly SEO,Weekly auto-report generation and delivery,Marketing Lead,Dependencies follow stage order; Gantt precedence via index; map fields to custom properties on import.
SuiteDash,Social & Community,Social & Community Pipeline,UGC Curation,7,Medium,Content Scheduler — UGC Curation,Select and secure permissions for UGC; schedule reposts for Content Scheduler.,Internal Marketing,Calendar Planning; Asset Prep; Approval; Scheduling; Live / Engage; Moderation & Escalation,Weekly Reporting,Scheduled post calendar with links and timestamps,4,On-time publish %; posting errors %,Retainer + performance bonus,per week,100.0,"1.0–1.5× based on retention, engagement, lead volume impact.",Quoted = Base Rate × Value Multiplier × (Rush 1.25× if <48h),Pabbly; Activepieces; SocialBee/Buffer,Auto-schedule by best time; repost evergreen,Marketing Lead,Dependencies follow stage order; Gantt precedence via index; map fields to custom properties on import.
SuiteDash,Social & Community,Social & Community Pipeline,UGC Curation,7,Medium,Community Manager — UGC Curation,Select and secure permissions for UGC; schedule reposts for Community Manager.,External Client / Internal Brand,Calendar Planning; Asset Prep; Approval; Scheduling; Live / Engage; Moderation & Escalation,Weekly Reporting,Engagement & moderation log; weekly community report,8,Avg. response time; engagement/member; retention %,Retainer + performance bonus,per month retainer,2500.0,"1.0–1.5× based on retention, engagement, lead volume impact.",Quoted = Base Rate × Value Multiplier × (Rush 1.25× if <48h),SuiteDash Portal; SalesNexus CRM,Auto-escalate flagged content; sentiment alerts,Marketing Lead,Dependencies follow stage order; Gantt precedence via index; map fields to custom properties on import.
SuiteDash,Social & Community,Social & Community Pipeline,UGC Curation,7,Medium,DM Specialist — UGC Curation,Select and secure permissions for UGC; schedule reposts for DM Specialist.,External Prospect / Sales,Calendar Planning; Asset Prep; Approval; Scheduling; Live / Engage; Moderation & Escalation,Weekly Reporting,Qualified lead list with transcripts/notes,4,Qualified leads; response time; lead→opportunity %,Retainer + performance bonus,per qualified lead (or $20/hr),35.0,"1.0–1.5× based on retention, engagement, lead volume impact.",Quoted = Base Rate × Value Multiplier × (Rush 1.25× if <48h),SalesNexus; WhatsApp CRM; Auto-assign via Pabbly,Auto-create CRM lead; tag source; assign follow-up,Marketing Lead,Dependencies follow stage order; Gantt precedence via index; map fields to custom properties on import.
SuiteDash,Social & Community,Social & Community Pipeline,Weekly Reporting,8,Medium,Hashtag Researcher — Weekly Reporting,Compile platform metrics; share insights and actions for Hashtag Researcher.,Internal Social Team / External Client,Calendar Planning; Asset Prep; Approval; Scheduling; Live / Engage; Moderation & Escalation; UGC Curation,,Weekly hashtag/keyword report with recommendations,4,Reach lift; CTR change; hashtag rank,Retainer + performance bonus,per weekly report,100.0,"1.0–1.5× based on retention, engagement, lead volume impact.",Quoted = Base Rate × Value Multiplier × (Rush 1.25× if <48h),WriterZen; Yazo; Squirrly SEO,Weekly auto-report generation and delivery,Marketing Lead,Dependencies follow stage order; Gantt precedence via index; map fields to custom properties on import.
SuiteDash,Social & Community,Social & Community Pipeline,Weekly Reporting,8,Medium,Content Scheduler — Weekly Reporting,Compile platform metrics; share insights and actions for Content Scheduler.,Internal Marketing,Calendar Planning; Asset Prep; Approval; Scheduling; Live / Engage; Moderation & Escalation; UGC Curation,,Scheduled post calendar with links and timestamps,4,On-time publish %; posting errors %,Retainer + performance bonus,per week,100.0,"1.0–1.5× based on retention, engagement, lead volume impact.",Quoted = Base Rate × Value Multiplier × (Rush 1.25× if <48h),Pabbly; Activepieces; SocialBee/Buffer,Auto-schedule by best time; repost evergreen,Marketing Lead,Dependencies follow stage order; Gantt precedence via index; map fields to custom properties on import.
SuiteDash,Social & Community,Social & Community Pipeline,Weekly Reporting,8,Medium,Community Manager — Weekly Reporting,Compile platform metrics; share insights and actions for Community Manager.,External Client / Internal Brand,Calendar Planning; Asset Prep; Approval; Scheduling; Live / Engage; Moderation & Escalation; UGC Curation,,Engagement & moderation log; weekly community report,8,Avg. response time; engagement/member; retention %,Retainer + performance bonus,per month retainer,2500.0,"1.0–1.5× based on retention, engagement, lead volume impact.",Quoted = Base Rate × Value Multiplier × (Rush 1.25× if <48h),SuiteDash Portal; SalesNexus CRM,Auto-escalate flagged content; sentiment alerts,Marketing Lead,Dependencies follow stage order; Gantt precedence via index; map fields to custom properties on import.
